approxkl,time_elapsed,serial_timesteps,ep_reward_mean,explained_variance,total_timesteps,fps,policy_loss,policy_entropy,value_loss,clipfrac,n_updates,ep_len_mean
4.004941e-07,49.121888160705566,129024,709.796875,0.3888721466064453,129024,2664,-0.0001135848,2.994627,5.070161,0.0,63,1999.0
1.4735884e-06,49.89089798927307,131072,709.7846153846153,0.3542829751968384,131072,2660,-3.6056153e-06,2.9946103,5.463815,0.0,64,1999.0
2.2444674e-07,50.6611762046814,133120,710.1666666666666,0.3723614811897278,133120,2665,-7.6837794e-05,2.9945986,4.960995,0.0,65,1999.0
5.493906e-07,51.43506598472595,135168,709.8507462686567,0.3648635149002075,135168,2658,-9.1347916e-05,2.9945931,4.4487853,0.0,66,1999.0
7.922939e-07,52.20600700378418,137216,709.3676470588235,0.4145447015762329,137216,2673,-7.126019e-05,2.9945965,4.497676,0.0,67,1999.0
4.8988903e-07,52.97273302078247,139264,709.7536231884058,0.4375694990158081,139264,2683,-9.764909e-05,2.9945922,5.24537,0.0,68,1999.0
1.6225258e-07,53.73643183708191,141312,709.7285714285714,0.45709019899368286,141312,2665,-7.5462274e-05,2.9945893,4.1434116,0.0,69,1999.0
2.8723474e-07,54.505370140075684,143360,709.5211267605633,0.4272651672363281,143360,2634,-6.764489e-05,2.9945908,4.5653734,0.0,70,1999.0
5.240416e-07,55.28868007659912,145408,709.6527777777778,0.4633718729019165,145408,2614,-0.000114947325,2.9945903,3.9317544,0.0,71,1999.0
8.065799e-07,56.072463274002075,147456,709.4246575342465,0.5107293725013733,147456,2366,-0.000125778,2.9945893,4.3583326,0.0,72,1999.0
2.7437414e-07,56.938380002975464,149504,709.3108108108108,0.5617728531360626,149504,2630,-0.00012753303,2.9945939,3.1208017,0.0,73,1999.0
5.646691e-07,57.7172749042511,151552,709.1333333333333,0.5211376845836639,151552,2669,-0.00017641603,2.9946012,4.002101,0.0,74,1999.0
2.3601447e-07,58.48498892784119,153600,709.1578947368421,0.5799878537654877,153600,2674,-0.00011039902,2.9946048,4.049384,0.0,75,1999.0
5.274443e-07,59.25643014907837,155648,709.5064935064935,0.507459431886673,155648,2655,-0.00012848116,2.994614,3.668634,0.0,76,1999.0
1.7939168e-07,60.02816414833069,157696,709.3205128205128,0.5543107688426971,157696,2676,-0.00010439069,2.9946165,3.3068206,0.0,77,1999.0
4.0619975e-07,60.79383206367493,159744,709.1392405063291,0.5598273873329163,159744,2671,-0.00017361483,2.9946313,3.4603524,0.0,78,1999.0
