fps,policy_loss,policy_entropy,total_timesteps,time_elapsed,explained_variance,approxkl,value_loss,clipfrac,serial_timesteps,n_updates,ep_reward_mean,ep_len_mean
2371,-4.9026858e-05,2.9948864,182272,78.48663187026978,0.013885438442230225,3.8208572e-07,8.029688,0.0,182272,89,4596.055555555556,9999.0
2371,-5.341207e-05,2.9949749,184320,79.3505699634552,0.022506237030029297,6.98911e-08,7.363813,0.0,184320,90,4596.055555555556,9999.0
2364,-2.7553691e-05,2.9950206,186368,80.22009181976318,0.01302260160446167,2.3395674e-07,8.036811,0.0,186368,91,4596.055555555556,9999.0
2375,-4.6606594e-05,2.994656,188416,81.0867829322815,0.014329075813293457,8.452923e-08,7.918045,0.0,188416,92,4596.055555555556,9999.0
2347,-4.521669e-05,2.9947095,190464,81.9492928981781,0.041627585887908936,2.9285766e-07,7.2042327,0.0,190464,93,4599.894736842105,9999.0
2379,-4.648224e-05,2.9948583,192512,82.82196879386902,0.012555956840515137,1.6380531e-07,8.537828,0.0,192512,94,4599.894736842105,9999.0
2370,-5.3956894e-05,2.9949117,194560,83.68311071395874,0.010954976081848145,5.566823e-08,7.221032,0.0,194560,95,4599.894736842105,9999.0
2364,-4.4839457e-05,2.994998,196608,84.55293893814087,0.017411887645721436,3.4419577e-07,7.6849794,0.0,196608,96,4599.894736842105,9999.0
2393,-5.8080022e-05,2.9946415,198656,85.41961288452148,0.021912813186645508,8.740459e-08,6.4253945,0.0,198656,97,4599.894736842105,9999.0
2376,-5.5846187e-05,2.994745,200704,86.27554774284363,0.04179537296295166,6.0802785e-07,5.052912,0.0,200704,98,4599.8,9999.0
2391,-5.092046e-05,2.994744,202752,87.13780498504639,0.010150313377380371,1.5773182e-07,7.5356536,0.0,202752,99,4599.8,9999.0
2378,-5.7146324e-05,2.9949539,204800,87.99443459510803,0.008246958255767822,5.256385e-07,6.70674,0.0,204800,100,4599.8,9999.0
2368,-6.147267e-05,2.9949145,206848,88.86163568496704,0.022270917892456055,1.1238061e-07,7.018827,0.0,206848,101,4599.8,9999.0
2381,-7.9968966e-05,2.9945486,208896,89.72651791572571,0.015958011150360107,7.411729e-07,5.7090244,0.0,208896,102,4599.8,9999.0
2395,-0.0001003464,2.9947555,210944,90.5866847038269,0.04368108510971069,1.9291959e-07,5.003318,0.0,210944,103,4598.190476190476,9999.0
2380,-4.0108665e-05,2.9946208,212992,91.44214177131653,0.015030384063720703,2.6827453e-07,8.82293,0.0,212992,104,4598.190476190476,9999.0
2385,-4.8733036e-05,2.9949994,215040,92.30276775360107,0.015310883522033691,2.6350017e-08,6.216262,0.0,215040,105,4598.190476190476,9999.0
2372,-8.591262e-05,2.9948807,217088,93.16708970069885,0.011523127555847168,2.586173e-07,5.3967876,0.0,217088,106,4598.190476190476,9999.0
2386,-7.854965e-05,2.9945393,219136,94.030681848526,0.018410325050354004,1.5902364e-07,6.7902083,0.0,219136,107,4598.190476190476,9999.0
2386,-0.0001102702,2.9946935,221184,94.88910984992981,0.03622859716415405,1.1096078e-06,4.4520054,0.0,221184,108,4600.863636363636,9999.0
2383,-5.9831353e-05,2.994567,223232,95.74772882461548,0.015787124633789062,2.035822e-07,5.5195775,0.0,223232,109,4600.863636363636,9999.0
2361,-7.412639e-05,2.9950187,225280,96.60757970809937,0.01305478811264038,3.864265e-07,5.4894657,0.0,225280,110,4600.863636363636,9999.0
2375,-5.9341895e-05,2.9947996,227328,97.48061060905457,0.002807915210723877,1.0529279e-07,5.6543145,0.0,227328,111,4600.863636363636,9999.0
2393,-8.1318154e-05,2.9945,229376,98.34309601783752,0.011694014072418213,6.347199e-07,5.0968943,0.0,229376,112,4600.863636363636,9999.0
2375,-8.809213e-05,2.9947293,231424,99.19903683662415,0.038016319274902344,7.117802e-07,5.406207,0.0,231424,113,4598.391304347826,9999.0
2378,-6.4161664e-05,2.994678,233472,100.06139373779297,0.015026628971099854,1.2074064e-07,5.4316034,0.0,233472,114,4598.391304347826,9999.0
2385,-6.284695e-05,2.9950535,235520,100.9228048324585,0.013709783554077148,4.564057e-08,4.5797014,0.0,235520,115,4598.391304347826,9999.0
2345,-4.4524484e-05,2.9948075,237568,101.78727769851685,0.007992088794708252,3.5351167e-07,5.9269514,0.0,237568,116,4598.391304347826,9999.0
2386,-9.648944e-05,2.994564,239616,102.660888671875,0.03318321704864502,1.5089877e-07,4.470813,0.0,239616,117,4598.391304347826,9999.0
2370,-0.00015089122,2.994771,241664,103.51953101158142,0.043024301528930664,2.8447076e-07,4.755931,0.0,241664,118,4598.458333333333,9999.0
2383,-8.861369e-05,2.9947865,243712,104.3839898109436,0.01304316520690918,3.304417e-07,4.6455817,0.0,243712,119,4598.458333333333,9999.0
2322,-4.9459086e-05,2.9950783,245760,105.24373984336853,0.015275955200195312,7.8891006e-08,5.537556,0.0,245760,120,4598.458333333333,9999.0
2372,-9.302767e-05,2.994721,247808,106.13162183761597,0.008976578712463379,1.04480044e-07,4.3743086,0.0,247808,121,4598.458333333333,9999.0
2372,-0.00010078827,2.9946105,249856,106.99518895149231,0.03983116149902344,1.5152848e-07,4.7712836,0.0,249856,122,4598.458333333333,9999.0
